Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
6.985193321915816,BATTERY,2,APARTMENT,17,0,41.788205759,-87.671714465
0.5420265410880029,BATTERY,2,APARTMENT,17,0,41.882784485,-87.707006744
7.393797945180932,THEFT,29,GROCERY FOOD STORE,72,1,41.880279804,-87.762443285
0.5003321917735412,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.946824346,-87.681457562
3.497461001727871,OTHER OFFENSE,22,PARKING LOT / GARAGE (NON RESIDENTIAL),94,1,41.756604794,-87.576095781
7.546677226000625,MOTOR VEHICLE THEFT,16,STREET,112,0,41.884231489,-87.696669693
1.57743621573047,NARCOTICS,17,SIDEWALK,109,1,41.87496157,-87.746140077
6.88512688352789,BATTERY,2,RESIDENCE,99,1,41.959640961,-87.735623825
2.1472589896947807,ASSAULT,1,RESIDENCE,99,0,41.76711592,-87.587918481
6.723213827040006,ROBBERY,26,STREET,112,0,41.728505222,-87.632663302
2.5364062499630906,CRIMINAL DAMAGE,5,RESIDENCE,99,0,41.742719912,-87.607331741
7.393797945180932,ASSAULT,1,APARTMENT,17,0,41.781737944,-87.591378953
1.584385273949547,MOTOR VEHICLE THEFT,16,DRIVEWAY - RESIDENTIAL,60,0,41.954607083,-87.647107189
5.003321917818458,MOTOR VEHICLE THEFT,16,STREET,112,0,41.796387631,-87.735503864
3.0026880565129823,THEFT,29,PARKING LOT / GARAGE (NON RESIDENTIAL),94,0,41.996399633,-87.700813558
6.608554366425236,ROBBERY,26,CTA BUS STOP,50,0,41.779012821,-87.664208692
0.015982833887267702,BATTERY,2,RESIDENCE,99,0,41.788849914,-87.711368813
1.0319351455329286,BATTERY,2,APARTMENT,17,0,41.899153198,-87.627410584
8.109550941745859,BATTERY,2,APARTMENT,17,0,41.773145219,-87.660398402
4.909509631860919,ROBBERY,26,SIDEWALK,109,0,41.893112265,-87.751578616
8.797507705517525,THEFT,29,CONVENIENCE STORE,46,0,41.880176631,-87.632312421
1.938787243122472,THEFT,29,STREET,112,0,41.911761869,-87.7867156
6.4278788527292345,ROBBERY,26,STREET,112,0,41.868824712,-87.741192054
8.797507705517525,CRIMINAL DAMAGE,5,APARTMENT,17,0,41.79291373,-87.621914403
7.92748561647248,WEAPONS VIOLATION,30,STREET,112,1,41.872066704,-87.728748331
3.4085130565402957,MOTOR VEHICLE THEFT,16,STREET,112,0,41.778802068,-87.65448051
1.5253182790873927,BATTERY,2,SIDEWALK,109,0,41.8960672,-87.667597844
8.35971703763263,MOTOR VEHICLE THEFT,16,STREET,112,0,41.862928711,-87.708312909
