Suspensions_Per_100_Students_Year_1_Pct,Student_Attendance_Year_1_Pct,One_Year_Dropout_Rate_Year_1_Pct,Freshmen_On_Track_CPS_Pct_Year_1,Graduation_4_Year_CPS_Pct_Year_1,College_Enrollment_CPS_Pct_Year_1,Chronic_Truancy_Pct,Latitude,Longitude
6.1,90.8,0.0,88.5,79.7,67.2,17.4,41.935795,-87.680562
8.4,95.0,,,,,5.7,41.662481,-87.553307
3.4,94.1,,,,,10.5,41.903792,-87.717927
4.7,92.9,,,,,13.8,41.734125,-87.646767
0.4,94.5,,,,,3.0,41.978501,-87.812054
0.5,97.7,,,,,0.6,41.84398,-87.635356
0.0,94.9,,,,,1.4,41.923204,-87.657287
0.1,96.2,,,,,2.6,41.879103,-87.659419
1.3,97.0,,,,,1.7,41.69717,-87.697278
1.0,93.3,,,,,9.7,41.811173,-87.597503
0.2,96.6,,,,,1.4,41.8444,-87.64134
2.3,95.1,,,,,6.9,41.858883,-87.715744
0.2,93.5,,,,,7.1,41.97979,-87.766072
29.3,77.2,9.4,88.5,79.7,67.2,55.9,41.878444,-87.70805
7.7,94.3,,,,,9.4,41.911938,-87.713318
5.1,95.1,,,,,4.5,41.870168,-87.702163
1.0,93.9,,,,,14.4,41.742452,-87.653633
0.0,95.6,,,,,3.3,41.892405,-87.673723
5.2,81.2,10.6,88.5,79.7,67.2,52.9,41.82388,-87.619796
3.6,94.8,,,,,10.4,41.827355,-87.61978
,95.1,,,,,7.4,41.856859,-87.730348
2.1,95.7,,,,,4.5,42.01015,-87.684442
15.3,89.2,1.4,88.5,79.7,67.2,23.3,41.758792,-87.576353
,65.7,29.9,,,67.2,67.9,41.841331,-87.625331
,57.7,45.0,,,67.2,73.4,41.832072,-87.626781
2.5,94.5,,,,,4.1,41.723627,-87.639521
0.2,96.2,,,,,1.0,41.942275,-87.657709
9.2,95.8,,,,,6.5,41.7799,-87.617214
0.0,94.0,,,,,7.0,41.958868,-87.781975
,91.3,0.5,88.5,79.7,67.2,9.9,41.721221,-87.655768
13.8,89.8,2.3,88.5,79.7,67.2,20.1,41.989029,-87.667136
48.1,76.6,1.2,88.5,79.7,67.2,51.4,41.870939,-87.699896
0.8,93.3,,,,,9.8,41.745237,-87.659775
6.3,77.7,0.9,,79.7,67.2,,41.809695,-87.59934
0.0,96.7,,,,,0.4,41.747186,-87.62804
,75.8,41.8,,,67.2,59.8,41.712922,-87.592333
,95.4,,,,,2.5,41.917952,-87.78783
,94.5,,,,,5.9,41.742671,-87.559907
,95.2,,,,,3.2,41.882322,-87.765322
27.5,83.7,3.6,88.5,79.7,67.2,38.6,41.806118,-87.62503
0.7,94.9,,,,,4.7,41.958938,-87.73402
0.8,94.3,,,,,4.4,41.795646,-87.642652
3.4,94.2,,,,,8.7,41.893236,-87.718797
4.5,94.6,,,,,5.4,41.808175,-87.745726
0.0,95.8,,,,,1.8,41.868576,-87.664969
0.0,95.1,,,,,4.1,42.003412,-87.697463
6.4,96.1,,,,,1.1,41.831555,-87.68131
2.7,93.9,,,,,7.9,41.970949,-87.654758
7.1,95.1,,,,,9.4,41.751946,-87.618066
8.3,82.7,7.2,88.5,79.7,67.2,57.1,41.890369,-87.767668
6.5,93.3,,,,,5.6,41.906907,-87.732443
0.3,94.3,,,,,4.8,41.993942,-87.724043
19.5,86.9,1.9,88.5,79.7,67.2,36.7,41.935634,-87.783515
32.6,80.7,3.2,88.5,79.7,67.2,49.7,41.705859,-87.653749
6.6,96.0,,,,,6.5,41.76249,-87.623345
3.1,95.9,,,,,6.3,41.867813,-87.770418
0.5,96.1,,,,,6.7,41.729673,-87.655481
0.7,94.2,,,,,6.1,41.965619,-87.772414
3.5,94.8,,,,,10.3,41.793788,-87.649795
0.6,95.3,,,,,9.8,42.017088,-87.677763
0.0,96.8,,,,,2.2,41.839595,-87.640341
0.5,96.7,,,,,3.3,41.8529,-87.683291
,89.5,5.3,88.5,79.7,67.2,17.8,41.827784,-87.624788
,64.9,45.8,,,67.2,64.1,41.938187,-87.727137
1.0,95.5,,,,,9.1,41.653733,-87.61432
1.6,94.4,,,,,9.6,41.934126,-87.656229
2.0,93.8,,,,,8.4,41.688819,-87.609431
2.8,94.4,,,,,9.1,41.77442,-87.707953
,96.0,,,,,7.6,41.966406,-87.721825
3.6,94.9,,,,,4.2,41.838027,-87.653792
0.0,94.2,,,,,8.1,41.854836,-87.648086
3.6,91.5,0.5,88.5,79.7,67.2,13.1,41.808413,-87.677541
,91.4,2.4,88.5,79.7,67.2,17.6,41.895282,-87.664483
4.8,94.3,,,,,5.9,41.783368,-87.590795
0.3,94.8,,,,,5.7,42.002959,-87.705917
,93.1,2.0,88.5,79.7,67.2,12.0,41.906879,-87.645577
0.0,95.9,,,,,1.5,41.943056,-87.778187
0.0,96.7,,,,,2.2,41.715665,-87.639305
4.3,94.1,,,,,8.5,41.845602,-87.731193
1.9,94.6,,,,,6.9,41.783826,-87.725422
2.2,94.6,,,,,11.5,41.743829,-87.542928
0.6,95.7,,,,,2.9,41.9066,-87.635513
0.5,95.8,,,,,3.8,41.917598,-87.7827
1.3,94.3,,,,,14.0,41.784942,-87.647453
0.4,95.8,,,,,1.9,41.949003,-87.651573
2.0,94.4,,,,,11.1,41.672309,-87.650539
0.0,94.1,,,,,4.6,41.773366,-87.594392
,76.1,0.0,,,,,41.753115,-87.551804
5.6,94.1,,,,,6.2,41.669444,-87.634306
,94.7,0.8,88.5,79.7,67.2,7.4,41.915214,-87.730127
1.8,95.3,,,,,3.6,41.745078,-87.717353
4.5,84.8,2.2,88.5,79.7,67.2,,41.960364,-87.764663
0.1,95.3,,,,,8.1,41.815909,-87.689647
,89.8,,,,,,41.970125,-87.78963
,95.7,,,,,2.5,41.921687,-87.776749
0.8,94.9,,,,,9.1,41.701952,-87.647652
10.2,87.0,4.1,88.5,79.7,67.2,27.6,41.80306,-87.722042
3.6,92.3,,,,,13.5,41.896713,-87.688937
0.5,93.8,,,,,6.3,41.786895,-87.732666
0.5,96.1,,,,,2.2,41.945062,-87.681041
,95.3,,,,,8.3,41.774572,-87.676147
0.0,95.6,,,,,2.1,41.950461,-87.730678
0.8,93.5,,,,,7.0,41.8239,-87.692077
1.8,94.5,,,,,6.9,41.871595,-87.683616
,65.8,29.9,,,67.2,62.9,41.90224,-87.74881
,,,,,,,41.902841,-87.687946
,92.5,2.0,88.5,79.7,67.2,26.8,41.858564,-87.708987
14.0,94.2,,,,,16.9,41.765361,-87.653018
0.0,95.4,,,,,2.7,41.92095,-87.757343
0.0,95.1,,,,,5.0,41.733132,-87.589589
0.0,93.7,0.6,,,67.2,5.6,41.941388,-87.690761
1.3,96.1,,,,,1.8,41.811069,-87.704199
,94.4,,,,,3.5,41.745365,-87.692614
0.5,97.6,,,,,0.0,41.70263,-87.606419
0.9,93.5,1.1,88.5,79.7,67.2,9.0,41.943054,-87.776847
1.9,94.2,,,,,7.7,41.757341,-87.632737
10.1,88.6,4.6,88.5,79.7,67.2,42.8,41.791013,-87.688954
3.3,97.4,2.4,88.5,79.7,67.2,6.7,41.899377,-87.694945
,95.6,5.5,88.5,79.7,67.2,4.4,42.013031,-87.674818
9.4,93.1,,,,,7.7,41.920555,-87.757854
0.0,96.3,,,,,2.4,41.970335,-87.710362
0.0,94.0,,,,,7.4,41.932511,-87.739388
3.9,92.7,,,,,15.6,41.774246,-87.653532
1.7,95.1,,,,,7.2,41.964029,-87.723128
17.9,84.8,1.2,88.5,79.7,67.2,35.1,41.692035,-87.665658
